name,latitude,longitude,threshold,event_date,geps_init_date,lead_time_days,event_flag,amd_tmp_min,percentile
Mori,42.076431,140.586743,3.0,2025-05-05,2025-04-20,15,0,7.40,6.7
Mori,42.076431,140.586743,3.0,2025-05-06,2025-04-20,16,0,6.20,4.1
Honbetsu,43.133400,143.562300,-1.0,2025-04-21,2025-04-21,0,0,1.80,0.0
Honbetsu,43.133400,143.562300,-1.0,2025-04-22,2025-04-21,1,0,1.40,0.0
Honbetsu,43.133400,143.562300,-1.0,2025-04-23,2025-04-21,2,0,2.90,0.0
Honbetsu,43.133400,143.562300,-1.0,2025-04-24,2025-04-21,3,0,5.80,0.0
Honbetsu,43.133400,143.562300,-1.0,2025-04-25,2025-04-21,4,0,2.60,0.0
Honbetsu,43.133400,143.562300,-1.0,2025-04-26,2025-04-21,5,1,-1.50,0.0
Honbetsu,43.133400,143.562300,-1.0,2025-04-27,2025-04-21,6,0,-0.60,0.0
Honbetsu,43.133400,143.562300,-1.0,2025-04-28,2025-04-21,7,1,-2.50,0.2
Honbetsu,43.133400,143.562300,-1.0,2025-04-29,2025-04-21,8,0,0.60,1.3
Honbetsu,43.133400,143.562300,-1.0,2025-04-30,2025-04-21,9,0,0.80,0.6
Honbetsu,43.133400,143.562300,-1.0,2025-05-01,2025-04-21,10,0,0.40,0.6
Honbetsu,43.133400,143.562300,-1.0,2025-05-02,2025-04-21,11,0,3.90,0.7
Honbetsu,43.133400,143.562300,-1.0,2025-05-03,2025-04-21,12,0,8.10,0.4
Honbetsu,43.133400,143.562300,-1.0,2025-05-04,2025-04-21,13,0,6.20,0.8
Honbetsu,43.133400,143.562300,-1.0,2025-05-05,2025-04-21,14,0,3.80,0.3
Honbetsu,43.133400,143.562300,-1.0,2025-05-06,2025-04-21,15,0,0.00,0.2
Honbetsu,43.133400,143.562300,-1.0,2025-05-07,2025-04-21,16,0,3.10,0.2
Honbetsu,43.133400,143.562300,3.0,2025-04-21,2025-04-21,0,1,1.80,50.0
Honbetsu,43.133400,143.562300,3.0,2025-04-22,2025-04-21,1,1,1.40,95.8
Honbetsu,43.133400,143.562300,3.0,2025-04-23,2025-04-21,2,1,2.90,84.7
Honbetsu,43.133400,143.562300,3.0,2025-04-24,2025-04-21,3,0,5.80,13.3
Honbetsu,43.133400,143.562300,3.0,2025-04-25,2025-04-21,4,1,2.60,5.8
Honbetsu,43.133400,143.562300,3.0,2025-04-26,2025-04-21,5,1,-1.50,0.0
Honbetsu,43.133400,143.562300,3.0,2025-04-27,2025-04-21,6,1,-0.60,0.1
